Wall time,Step,Value
1513837477.5309546,70,-17.0
1513837478.0159678,80,-12.0
1513837478.5365274,90,-12.0
1513837479.0798926,100,-12.0
1513837479.5720549,110,-12.0
1513837480.0993466,120,-12.0
1513837480.408495,130,-12.0
1513837480.9429224,140,-12.0
1513837481.2360904,150,-17.0
1513837481.7409801,160,-12.0
1513837482.2565606,170,-17.0
1513837482.771887,180,-12.0
1513837483.3847842,190,-12.0
1513837483.8823607,200,-17.0
1513837484.3643773,210,-12.0
1513837485.0079074,220,-12.0
1513837485.2866404,230,-12.0
1513837485.756341,240,-12.0
1513837486.28662,250,-12.0
1513837486.5922372,260,95.0
1513837486.874962,270,-12.0
1513837487.369109,280,-12.0
1513837487.6685362,290,-17.0
1513837487.9669225,300,-12.0
1513837488.3565023,310,-17.0
1513837488.8548958,320,-12.0
1513837489.1481612,330,-17.0
1513837489.638383,340,-12.0
1513837490.1325974,350,-12.0
1513837490.4421446,360,-12.0
1513837491.028278,370,-12.0
1513837491.5724518,380,-12.0
1513837492.0573494,390,-17.0
1513837492.6181433,400,95.0
1513837492.9158757,410,-17.0
1513837493.2434473,420,-12.0
1513837493.8636823,430,-12.0
1513837494.3506644,440,-12.0
1513837494.656192,450,-12.0
1513837495.0040658,460,-12.0
1513837495.4685566,470,-12.0
1513837495.754339,480,-17.0
1513837496.0636065,490,-12.0
1513837496.3759553,500,-12.0
1513837496.6954865,510,-17.0
1513837497.042317,520,-12.0
1513837497.3313987,530,-12.0
1513837497.8757806,540,-17.0
1513837498.5259347,550,-17.0
1513837498.853539,560,-12.0
1513837499.3419988,570,-12.0
1513837499.6463575,580,-17.0
1513837499.9633784,590,95.0
1513837500.2564096,600,-12.0
1513837500.843352,610,-12.0
1513837501.180043,620,-17.0
1513837501.7043495,630,-12.0
1513837502.0484521,640,-12.0
1513837502.3644307,650,-17.0
1513837502.7007446,660,-12.0
1513837503.0683584,670,-12.0
1513837503.369291,680,-12.0
1513837503.6460881,690,-12.0
1513837503.9645064,700,-12.0
1513837504.490293,710,-17.0
1513837504.7850935,720,-17.0
1513837505.3253527,730,-12.0
1513837505.631399,740,-12.0
1513837505.9127343,750,95.0
1513837506.4944167,760,-12.0
1513837507.014409,770,-17.0
1513837507.3310297,780,-12.0
1513837507.9089196,790,-12.0
1513837508.1842983,800,-12.0
1513837508.4893444,810,-17.0
1513837508.8623972,820,-12.0
1513837509.1720507,830,-12.0
1513837509.655375,840,-17.0
1513837510.0324044,850,-17.0
1513837510.518953,860,-17.0
1513837511.0182838,870,-12.0
1513837511.3692167,880,-12.0
1513837511.660153,890,-17.0
1513837511.952199,900,-12.0
1513837512.3009813,910,-12.0
1513837512.6058462,920,-12.0
1513837512.8954442,930,95.0
1513837513.4053872,940,-12.0
1513837513.6682649,950,95.0
1513837513.9530916,960,-17.0
1513837514.279696,970,-12.0
1513837514.7633655,980,-12.0
1513837515.053112,990,-12.0
1513837515.4292958,1000,-12.0
1513837515.7560084,1010,-12.0
1513837516.0378652,1020,-12.0
1513837516.4087853,1030,-12.0
1513837516.995243,1040,-17.0
1513837517.2940373,1050,-12.0
1513837517.6495113,1060,-12.0
1513837518.1623278,1070,-12.0
1513837518.4434648,1080,-17.0
1513837518.7882268,1090,-12.0
1513837519.0990212,1100,-12.0
1513837519.3811808,1110,-12.0
1513837519.778863,1120,-17.0
1513837520.1212823,1130,-12.0
1513837520.399713,1140,-17.0
1513837520.7094028,1150,-17.0
1513837521.351807,1160,95.0
1513837521.7108169,1170,-12.0
1513837522.064472,1180,-12.0
1513837522.3803258,1190,-12.0
1513837522.6754475,1200,-17.0
1513837523.0102396,1210,-12.0
1513837523.3422914,1220,95.0
1513837523.6783547,1230,-12.0
1513837524.040386,1240,95.0
1513837524.31484,1250,-17.0
1513837524.6221473,1260,-17.0
1513837524.969924,1270,-12.0
1513837525.3057106,1280,95.0
1513837525.6307745,1290,-12.0
1513837526.082613,1300,-17.0
1513837526.4045935,1310,-12.0
1513837526.7335484,1320,-17.0
1513837527.1233475,1330,-17.0
1513837527.4542806,1340,-12.0
1513837527.7289195,1350,-12.0
1513837528.0974019,1360,-12.0
1513837528.3880122,1370,-17.0
1513837528.678061,1380,-12.0
1513837528.9935753,1390,-17.0
1513837529.3577492,1400,-12.0
1513837529.6500933,1410,-12.0
1513837529.9653962,1420,-12.0
1513837530.2611556,1430,95.0
1513837530.5692534,1440,-12.0
1513837531.11838,1450,-17.0
1513837531.4049525,1460,-12.0
1513837531.715485,1470,-12.0
1513837532.0545208,1480,-17.0
1513837532.3465853,1490,-17.0
1513837532.9212673,1500,-17.0
1513837533.285899,1510,-12.0
1513837533.5921018,1520,-12.0
1513837533.8700373,1530,-12.0
1513837534.2029068,1540,-12.0
1513837534.48739,1550,-12.0
1513837534.7819421,1560,-12.0
1513837535.223067,1570,-12.0
1513837535.5088122,1580,-12.0
1513837535.820301,1590,-17.0
1513837536.3115242,1600,-17.0
1513837536.791293,1610,-12.0
1513837537.0923376,1620,-17.0
1513837537.4694705,1630,-12.0
1513837537.7842975,1640,-17.0
1513837538.1509123,1650,-12.0
1513837538.5307574,1660,-17.0
1513837538.8582485,1670,-12.0
1513837539.14493,1680,-12.0
1513837539.5541131,1690,-17.0
1513837539.8642135,1700,-12.0
1513837540.1537287,1710,-12.0
1513837540.53428,1720,-12.0
1513837540.8171017,1730,93.0
1513837541.140005,1740,-17.0
1513837541.5065365,1750,-17.0
1513837541.8828745,1760,-12.0
1513837542.206559,1770,-12.0
1513837542.539154,1780,-12.0
1513837542.877887,1790,-17.0
1513837543.164017,1800,-12.0
1513837543.5103395,1810,-12.0
1513837543.7871764,1820,-12.0
1513837544.1777258,1830,-12.0
1513837544.5748854,1840,-17.0
1513837544.890033,1850,-17.0
1513837545.214125,1860,-12.0
1513837545.607597,1870,-12.0
1513837545.9026954,1880,-12.0
1513837546.193988,1890,-12.0
1513837546.5186641,1900,-12.0
1513837546.8179936,1910,-17.0
1513837547.1140897,1920,-12.0
1513837547.4346364,1930,-12.0
1513837547.783791,1940,-12.0
1513837548.1110647,1950,-12.0
1513837548.545074,1960,-12.0
1513837548.8406274,1970,-12.0
1513837549.1920516,1980,-12.0
1513837549.5916076,1990,-12.0
1513837549.9334831,2000,-12.0
1513837550.2383068,2010,-17.0
1513837550.5972621,2020,-12.0
1513837550.8747563,2030,-12.0
1513837551.1934965,2040,-17.0
1513837551.5539024,2050,-12.0
1513837551.8644204,2060,-12.0
1513837552.1991777,2070,-12.0
1513837552.552128,2080,-12.0
1513837552.8330443,2090,-17.0
1513837553.1695502,2100,-12.0
1513837553.5304277,2110,-12.0
1513837553.8305469,2120,-12.0
1513837554.198646,2130,-12.0
1513837554.5301967,2140,-17.0
1513837554.832197,2150,-12.0
1513837555.1561728,2160,-17.0
1513837555.5190213,2170,-12.0
1513837555.8221045,2180,-12.0
1513837556.1717787,2190,-12.0
1513837556.7422738,2200,95.0
1513837557.0669284,2210,-12.0
1513837557.4037588,2220,-12.0
1513837557.8056915,2230,-12.0
1513837558.099729,2240,-12.0
1513837558.393497,2250,-12.0
1513837558.785641,2260,-17.0
1513837559.1238792,2270,-12.0
1513837559.4394991,2280,-12.0
1513837559.7924767,2290,-12.0
1513837560.106465,2300,-12.0
1513837560.4350793,2310,-17.0
1513837560.7578652,2320,-12.0
1513837561.0443244,2330,-17.0
1513837561.340869,2340,-17.0
1513837561.7421708,2350,-12.0
1513837562.0496082,2360,-12.0
1513837562.3693342,2370,-12.0
1513837562.7244043,2380,-12.0
1513837563.0098143,2390,-12.0
1513837563.2863038,2400,-12.0
1513837563.6759725,2410,-12.0
1513837563.9675674,2420,-17.0
1513837564.265608,2430,-12.0
1513837564.6528413,2440,-12.0
1513837564.9727223,2450,-12.0
1513837565.2836576,2460,-12.0
1513837565.6683953,2470,-12.0
1513837565.993088,2480,-12.0
1513837566.3390143,2490,-17.0
1513837566.674204,2500,95.0
1513837566.9553974,2510,-17.0
1513837567.2621531,2520,95.0
1513837567.6111813,2530,-17.0
1513837567.9122267,2540,-12.0
1513837568.209118,2550,-12.0
1513837568.5534716,2560,-12.0
1513837568.8475583,2570,-12.0
1513837569.1422663,2580,-12.0
1513837569.478916,2590,-12.0
1513837569.7575138,2600,-17.0
1513837570.0696688,2610,-12.0
1513837570.4458144,2620,-17.0
1513837570.74244,2630,-12.0
1513837571.0171204,2640,-12.0
1513837571.3664029,2650,-12.0
1513837571.6409225,2660,-17.0
1513837571.9190838,2670,-12.0
1513837572.2508295,2680,-12.0
1513837572.5454066,2690,-17.0
1513837572.8763008,2700,-12.0
1513837573.219421,2710,-12.0
1513837573.5386114,2720,-12.0
1513837573.8632984,2730,-17.0
1513837574.2224123,2740,-12.0
1513837574.5189204,2750,-12.0
1513837574.8290505,2760,-17.0
1513837575.2182012,2770,-12.0
1513837575.5387185,2780,-17.0
1513837575.8464208,2790,-12.0
1513837576.2461083,2800,-12.0
1513837576.5821826,2810,-12.0
1513837576.893408,2820,95.0
1513837577.252374,2830,95.0
1513837577.5469077,2840,-12.0
1513837577.8424547,2850,-12.0
1513837578.246423,2860,-12.0
1513837578.5395088,2870,-12.0
1513837578.8378856,2880,-17.0
1513837579.4634295,2890,95.0
1513837579.779606,2900,-12.0
