Wall time,Step,Value
1513837475.429339,0,-32.0
1513837475.790543,10,-395.0
1513837476.1179185,20,-390.0
1513837476.2734365,30,95.0
1513837476.4424443,40,95.0
1513837476.7812958,50,-395.0
1513837477.212191,60,-395.0
1513837477.7535203,70,-300.0
1513837478.2496972,80,-300.0
1513837478.8186865,90,-300.0
1513837479.2982213,100,-410.0
1513837479.7925217,110,-410.0
1513837480.1343038,120,95.0
1513837480.6739213,130,-410.0
1513837480.9579093,140,95.0
1513837481.4835,150,-410.0
1513837482.004,160,-300.0
1513837482.4789667,170,-400.0
1513837483.098263,180,-410.0
1513837483.595785,190,-400.0
1513837484.108285,200,-410.0
1513837484.7259364,210,-405.0
1513837485.022952,220,95.0
1513837485.501165,230,-410.0
1513837486.0051146,240,-410.0
1513837486.3269665,250,45.0
1513837486.6069841,260,95.0
1513837487.110916,270,-410.0
1513837487.401378,280,64.0
1513837487.6839166,290,95.0
1513837488.0393395,300,64.0
1513837488.5774033,310,-400.0
1513837488.8700469,320,95.0
1513837489.377674,330,-400.0
1513837489.8614597,340,-410.0
1513837490.1558754,350,83.0
1513837490.7553077,360,-405.0
1513837491.2617621,370,-400.0
1513837491.7932138,380,-400.0
1513837492.3445256,390,-400.0
1513837492.6495514,400,64.0
1513837492.9674392,410,54.0
1513837493.5658212,420,-405.0
1513837494.074371,430,-395.0
1513837494.3826268,440,64.0
1513837494.7342062,450,35.0
1513837495.2140906,460,-400.0
1513837495.5006633,470,71.0
1513837495.8036525,480,83.0
1513837496.0873346,490,83.0
1513837496.423889,500,54.0
1513837496.7717514,510,35.0
1513837497.0743015,520,71.0
1513837497.5861478,530,-400.0
1513837498.2395813,540,-300.0
1513837498.5496113,550,76.0
1513837499.063174,560,-410.0
1513837499.3820417,570,95.0
1513837499.6868765,580,54.0
1513837499.9783275,590,95.0
1513837500.5688763,600,-390.0
1513837500.889338,610,45.0
1513837501.4276118,620,-330.0
1513837501.766557,630,83.0
1513837502.0629869,640,95.0
1513837502.4139688,650,35.0
1513837502.7933013,660,45.0
1513837503.0917034,670,83.0
1513837503.3850696,680,95.0
1513837503.7045813,690,71.0
1513837504.2233274,700,-325.0
1513837504.5138729,710,83.0
1513837505.0530503,720,-390.0
1513837505.3577654,730,71.0
1513837505.6464832,740,95.0
1513837506.2170396,750,-330.0
1513837506.7400591,760,-325.0
1513837507.0471501,770,64.0
1513837507.6347136,780,-355.0
1513837507.9252195,790,95.0
1513837508.2075117,800,83.0
1513837508.5829852,810,71.0
1513837508.8864744,820,83.0
1513837509.3884704,830,-300.0
1513837509.7281415,840,64.0
1513837510.2529082,850,-330.0
1513837510.7635384,860,-300.0
1513837511.0766702,870,95.0
1513837511.3872998,880,95.0
1513837511.683667,890,83.0
1513837512.0290866,900,83.0
1513837512.3419936,910,45.0
1513837512.6295109,920,83.0
1513837513.1409655,930,-355.0
1513837513.4203007,940,95.0
1513837513.691467,950,83.0
1513837514.0095072,960,71.0
1513837514.5004542,970,-300.0
1513837514.7950125,980,71.0
1513837515.1509993,990,59.0
1513837515.4713228,1000,59.0
1513837515.7713459,1010,95.0
1513837516.1043339,1020,71.0
1513837516.7030427,1030,-395.0
1513837517.026501,1040,71.0
1513837517.3612266,1050,83.0
1513837517.895236,1060,-305.0
1513837518.1775506,1070,95.0
1513837518.501717,1080,83.0
1513837518.8113122,1090,83.0
1513837519.1141522,1100,95.0
1513837519.4597287,1110,71.0
1513837519.8119662,1120,71.0
1513837520.1364892,1130,95.0
1513837520.4496188,1140,83.0
1513837521.0499208,1150,-310.0
1513837521.4058805,1160,47.0
1513837521.7857459,1170,59.0
1513837522.0884259,1180,83.0
1513837522.4036634,1190,83.0
1513837522.7380247,1200,83.0
1513837523.050368,1210,59.0
1513837523.3736804,1220,71.0
1513837523.7473645,1230,83.0
1513837524.0550888,1240,95.0
1513837524.3514378,1250,71.0
1513837524.6897533,1260,71.0
1513837525.043428,1270,-19.0
1513837525.3312447,1280,83.0
1513837525.7824657,1290,-19.0
1513837526.1056585,1300,83.0
1513837526.4360251,1310,71.0
1513837526.8216925,1320,83.0
1513837527.1469336,1330,83.0
1513837527.4697998,1340,95.0
1513837527.8066716,1350,71.0
1513837528.1129813,1360,95.0
1513837528.4105318,1370,83.0
1513837528.7313023,1380,83.0
1513837529.0899096,1390,-40.0
1513837529.3811016,1400,83.0
1513837529.7031693,1410,83.0
1513837529.9894624,1420,83.0
1513837530.29285,1430,71.0
1513837530.8546531,1440,-330.0
1513837531.141392,1450,83.0
1513837531.4287136,1460,83.0
1513837531.7653027,1470,95.0
1513837532.086208,1480,71.0
1513837532.6354153,1490,-196.0
1513837532.9885294,1500,83.0
1513837533.3167055,1510,71.0
1513837533.6071413,1520,95.0
1513837533.9333572,1530,83.0
1513837534.2341053,1540,71.0
1513837534.519167,1550,71.0
1513837534.9455318,1560,18.0
1513837535.2469122,1570,83.0
1513837535.5407984,1580,71.0
1513837536.0417624,1590,-112.0
1513837536.5171175,1600,-169.0
1513837536.8310008,1610,59.0
1513837537.197169,1620,35.0
1513837537.4929097,1630,83.0
1513837537.8537416,1640,47.0
1513837538.2173326,1650,83.0
1513837538.5825489,1660,40.0
1513837538.8816144,1670,83.0
1513837539.2665105,1680,47.0
1513837539.593379,1690,59.0
1513837539.8875067,1700,83.0
1513837540.201261,1710,95.0
1513837540.553621,1720,95.0
1513837540.8555791,1730,59.0
1513837541.2259738,1740,30.0
1513837541.609737,1750,-23.0
1513837541.907762,1760,95.0
1513837542.2615583,1770,83.0
1513837542.6164618,1780,1.0
1513837542.902378,1790,83.0
1513837543.2223947,1800,83.0
1513837543.527259,1810,95.0
1513837543.880823,1820,-6.0
1513837544.2654061,1830,71.0
1513837544.5902774,1840,95.0
1513837544.9565072,1850,18.0
1513837545.3226612,1860,47.0
1513837545.639094,1870,71.0
1513837545.925399,1880,83.0
1513837546.2607212,1890,71.0
1513837546.5498059,1900,71.0
1513837546.8409503,1910,83.0
1513837547.1627207,1920,95.0
1513837547.4939265,1930,47.0
1513837547.8345132,1940,42.0
1513837548.266239,1950,18.0
1513837548.5774572,1960,71.0
1513837548.8964636,1970,71.0
1513837549.3038568,1980,47.0
1513837549.6436121,1990,71.0
1513837549.9647992,2000,76.0
1513837550.300681,2010,71.0
1513837550.6147983,2020,95.0
1513837550.8981302,2030,83.0
1513837551.2699933,2040,83.0
1513837551.5770946,2050,76.0
1513837551.9471576,2060,-6.0
1513837552.2629752,2070,71.0
1513837552.5676012,2080,95.0
1513837552.864706,2090,64.0
1513837553.2346013,2100,83.0
1513837553.544871,2110,95.0
1513837553.9318314,2120,-40.0
1513837554.2652426,2130,76.0
1513837554.5533319,2140,83.0
1513837554.8820627,2150,59.0
1513837555.2549784,2160,59.0
1513837555.5418258,2170,83.0
1513837555.8677006,2180,71.0
1513837556.4737332,2190,-325.0
1513837556.7812662,2200,59.0
1513837557.1276922,2210,42.0
1513837557.487708,2220,64.0
1513837557.8292422,2230,83.0
1513837558.1238635,2240,83.0
1513837558.5084784,2250,42.0
1513837558.8172169,2260,71.0
1513837559.1553178,2270,71.0
1513837559.5083604,2280,71.0
1513837559.848381,2290,30.0
1513837560.155092,2300,47.0
1513837560.4951673,2310,83.0
1513837560.773539,2320,95.0
1513837561.068069,2330,83.0
1513837561.453802,2340,47.0
1513837561.7730477,2350,71.0
1513837562.097114,2360,47.0
1513837562.4383812,2370,83.0
1513837562.7399218,2380,95.0
1513837563.033466,2390,83.0
1513837563.3886385,2400,47.0
1513837563.6905499,2410,95.0
1513837563.9905412,2420,83.0
1513837564.3430154,2430,83.0
1513837564.6780906,2440,95.0
1513837565.019547,2450,47.0
1513837565.3842409,2460,83.0
1513837565.7076573,2470,59.0
1513837566.0081499,2480,95.0
1513837566.414873,2490,59.0
1513837566.7061336,2500,71.0
1513837566.9871852,2510,71.0
1513837567.3226888,2520,95.0
1513837567.6424816,2530,64.0
1513837567.9529538,2540,54.0
1513837568.2778826,2550,83.0
1513837568.5866945,2560,71.0
1513837568.8788178,2570,64.0
1513837569.2127867,2580,71.0
1513837569.4938807,2590,95.0
1513837569.804888,2600,47.0
1513837570.1500533,2610,71.0
1513837570.4768143,2620,71.0
1513837570.7574432,2630,95.0
1513837571.078942,2640,95.0
1513837571.381382,2650,95.0
1513837571.6557722,2660,95.0
1513837571.9771845,2670,95.0
1513837572.273847,2680,83.0
1513837572.5767653,2690,71.0
1513837572.9454703,2700,83.0
1513837573.266611,2710,47.0
1513837573.5698168,2720,71.0
1513837573.9415393,2730,71.0
1513837574.24553,2740,83.0
1513837574.5424912,2750,83.0
1513837574.913785,2760,71.0
1513837575.2658405,2770,47.0
1513837575.5618417,2780,83.0
1513837575.9669614,2790,47.0
1513837576.2690876,2800,83.0
1513837576.6213114,2810,59.0
1513837576.9863317,2820,64.0
1513837577.2754834,2830,83.0
1513837577.571485,2840,83.0
1513837577.963903,2850,37.0
1513837578.2626927,2860,95.0
1513837578.5630143,2870,83.0
1513837579.17222,2880,-300.0
1513837579.4947484,2890,71.0
1513837579.8030958,2900,83.0
1513837580.2147257,2910,71.0
1513837580.5383282,2920,47.0
1513837580.8230927,2930,71.0
1513837581.1798022,2940,54.0
1513837581.4702477,2950,95.0
1513837581.7718604,2960,71.0
1513837582.1439683,2970,83.0
1513837582.432715,2980,83.0
1513837582.7189934,2990,64.0
1513837583.0561752,3000,64.0
1513837583.3581686,3010,95.0
1513837583.7055693,3020,47.0
1513837584.0785422,3030,83.0
1513837584.4229784,3040,59.0
1513837584.7414126,3050,71.0
1513837585.0985193,3060,83.0
1513837585.4011173,3070,95.0
1513837585.7737546,3080,83.0
1513837586.1107063,3090,95.0
1513837586.4723558,3100,83.0
1513837586.7596114,3110,95.0
1513837587.1254408,3120,59.0
1513837587.4719605,3130,71.0
1513837587.7954535,3140,47.0
1513837588.1612709,3150,71.0
1513837588.539007,3160,-47.0
1513837588.838606,3170,83.0
1513837589.2049534,3180,71.0
1513837589.5549588,3190,71.0
1513837590.0783231,3200,-390.0
1513837590.4806066,3210,47.0
1513837590.7754,3220,95.0
1513837591.105279,3230,71.0
1513837591.484409,3240,54.0
1513837591.8292322,3250,28.0
1513837592.1406546,3260,83.0
1513837592.6200745,3270,-158.0
1513837592.9235098,3280,83.0
1513837593.2266436,3290,95.0
1513837593.5761068,3300,83.0
1513837593.8879056,3310,83.0
1513837594.1794777,3320,95.0
1513837594.542498,3330,59.0
1513837594.8460047,3340,66.0
1513837595.1358218,3350,83.0
1513837595.5534658,3360,52.0
1513837595.8594751,3370,45.0
1513837596.1703556,3380,45.0
1513837596.5201876,3390,95.0
1513837596.8482945,3400,71.0
1513837597.131507,3410,71.0
1513837597.4908693,3420,64.0
1513837597.7824411,3430,83.0
1513837598.0821595,3440,83.0
1513837598.454898,3450,95.0
1513837598.7687526,3460,83.0
1513837599.079779,3470,83.0
1513837599.478255,3480,83.0
1513837599.8032851,3490,59.0
1513837600.09279,3500,83.0
1513837600.4570386,3510,64.0
1513837600.7644532,3520,71.0
1513837601.0541131,3530,71.0
1513837601.4366653,3540,71.0
1513837601.7612822,3550,71.0
1513837602.0633976,3560,95.0
1513837602.408097,3570,83.0
1513837602.7109892,3580,95.0
1513837603.0429935,3590,52.0
1513837603.4582942,3600,71.0
1513837603.7813747,3610,95.0
1513837604.1036937,3620,71.0
1513837604.442222,3630,95.0
1513837604.7801974,3640,64.0
1513837605.1005857,3650,71.0
1513837605.4356003,3660,83.0
1513837605.8081696,3670,83.0
1513837606.1531484,3680,54.0
1513837606.5345216,3690,64.0
1513837606.858109,3700,71.0
1513837607.1806054,3710,71.0
1513837607.5531054,3720,64.0
1513837607.8728616,3730,95.0
1513837608.1778352,3740,64.0
1513837608.524686,3750,83.0
1513837608.8321579,3760,95.0
1513837609.1604438,3770,52.0
1513837609.5064154,3780,83.0
1513837609.8328521,3790,52.0
1513837610.119907,3800,83.0
1513837610.4756775,3810,83.0
1513837610.7764907,3820,71.0
1513837611.0905218,3830,52.0
1513837611.459921,3840,83.0
1513837611.786217,3850,64.0
1513837612.1047885,3860,71.0
1513837612.420584,3870,95.0
1513837612.7601607,3880,54.0
1513837613.0621867,3890,83.0
1513837613.4265676,3900,52.0
1513837613.7389076,3910,64.0
1513837614.034196,3920,83.0
1513837614.4393144,3930,54.0
1513837614.732308,3940,95.0
1513837615.0402641,3950,83.0
1513837615.3893564,3960,52.0
1513837615.7002223,3970,83.0
1513837616.0333362,3980,52.0
1513837616.4105775,3990,64.0
1513837616.7365751,4000,71.0
1513837617.0391154,4010,71.0
1513837617.4213986,4020,83.0
1513837617.7725475,4030,95.0
1513837618.0845299,4040,71.0
1513837618.4285169,4050,83.0
1513837618.7414002,4060,83.0
1513837619.0638893,4070,71.0
1513837619.4651604,4080,52.0
1513837619.7819347,4090,83.0
1513837620.2802465,4100,-330.0
1513837620.6572862,4110,64.0
1513837620.9739614,4120,64.0
1513837621.2719512,4130,83.0
1513837621.6235511,4140,71.0
1513837621.9435406,4150,83.0
1513837622.2489235,4160,71.0
1513837622.6150944,4170,57.0
1513837622.9281356,4180,83.0
1513837623.2360291,4190,71.0
1513837623.6547055,4200,52.0
1513837623.9932163,4210,83.0
1513837624.277659,4220,83.0
1513837624.6520655,4230,83.0
1513837624.9837346,4240,52.0
1513837625.2667189,4250,95.0
1513837625.6206408,4260,83.0
1513837625.9129338,4270,95.0
1513837626.2051556,4280,83.0
1513837626.5686667,4290,83.0
1513837626.9213927,4300,52.0
1513837627.2170463,4310,83.0
1513837627.5956013,4320,71.0
1513837627.9310417,4330,52.0
1513837628.2612746,4340,83.0
1513837628.6367924,4350,52.0
1513837628.969635,4360,71.0
1513837629.2806733,4370,71.0
1513837629.6240635,4380,95.0
1513837629.949083,4390,64.0
1513837630.2547636,4400,64.0
1513837630.6166975,4410,64.0
1513837630.9312649,4420,71.0
1513837631.2255578,4430,95.0
1513837631.815779,4440,-335.0
1513837632.1329296,4450,64.0
1513837632.4421873,4460,71.0
1513837632.8220546,4470,64.0
1513837633.1100166,4480,83.0
1513837633.4397345,4490,83.0
1513837633.8324246,4500,95.0
1513837634.1975121,4510,52.0
1513837634.556731,4520,64.0
1513837634.9154766,4530,83.0
1513837635.2301414,4540,71.0
1513837635.5297294,4550,83.0
1513837635.8631086,4560,95.0
1513837636.1745367,4570,83.0
1513837636.4910936,4580,64.0
1513837636.8904812,4590,71.0
1513837637.2117784,4600,83.0
1513837637.519305,4610,52.0
1513837637.8866317,4620,71.0
1513837638.1754572,4630,83.0
1513837638.4774482,4640,83.0
1513837638.8265617,4650,83.0
1513837639.1286077,4660,83.0
1513837639.481204,4670,71.0
1513837639.8451588,4680,83.0
1513837640.142953,4690,83.0
1513837640.435238,4700,83.0
1513837640.833059,4710,54.0
1513837641.1492455,4720,83.0
1513837641.4464898,4730,71.0
1513837641.7898252,4740,83.0
1513837642.1109726,4750,64.0
1513837642.6464496,4760,-335.0
1513837643.0322843,4770,83.0
1513837643.3464568,4780,83.0
1513837643.8409317,4790,-335.0
1513837644.231427,4800,54.0
1513837644.5446954,4810,83.0
1513837644.8386257,4820,83.0
1513837645.2344677,4830,52.0
1513837645.5438066,4840,83.0
1513837645.8660054,4850,83.0
1513837646.2419508,4860,64.0
1513837646.551316,4870,83.0
1513837646.8730037,4880,83.0
1513837647.2978015,4890,83.0
1513837647.6009147,4900,83.0
1513837647.8856978,4910,64.0
1513837648.240316,4920,83.0
1513837648.5662634,4930,83.0
1513837648.8650756,4940,64.0
1513837649.2192903,4950,83.0
1513837649.5188046,4960,83.0
1513837649.7923892,4970,95.0
1513837650.232009,4980,83.0
1513837650.562845,4990,64.0
1513837651.1028101,5000,83.0
1513837651.4657848,5010,66.0
1513837651.7793782,5020,71.0
1513837652.1074533,5030,71.0
1513837652.5031242,5040,83.0
1513837652.8158615,5050,71.0
1513837653.158885,5060,45.0
1513837653.562378,5070,52.0
1513837653.874789,5080,71.0
1513837654.2144532,5090,83.0
1513837654.577122,5100,71.0
1513837654.8713453,5110,95.0
1513837655.1790574,5120,95.0
1513837655.550292,5130,71.0
1513837655.8706913,5140,83.0
1513837656.179504,5150,71.0
1513837656.5447264,5160,95.0
1513837656.8412862,5170,83.0
1513837657.1259382,5180,95.0
1513837657.4807081,5190,83.0
1513837657.8032374,5200,71.0
1513837658.105549,5210,95.0
1513837658.476865,5220,83.0
1513837658.810077,5230,83.0
1513837659.1218169,5240,83.0
1513837659.4988616,5250,71.0
1513837659.8066537,5260,83.0
1513837660.1128876,5270,71.0
1513837660.4950025,5280,83.0
1513837660.8294392,5290,83.0
1513837661.120749,5300,95.0
1513837661.490171,5310,71.0
1513837661.8141298,5320,64.0
1513837662.1065109,5330,95.0
1513837662.4965699,5340,52.0
1513837662.803851,5350,95.0
1513837663.0963416,5360,95.0
1513837663.4829848,5370,83.0
1513837663.8037393,5380,83.0
1513837664.1025395,5390,95.0
1513837664.4884021,5400,71.0
1513837664.8442588,5410,52.0
1513837665.1324382,5420,83.0
1513837665.4918134,5430,83.0
1513837665.7851284,5440,95.0
1513837666.1229692,5450,71.0
1513837666.4624922,5460,83.0
1513837666.7772455,5470,71.0
1513837667.0636408,5480,71.0
1513837667.4388993,5490,71.0
1513837667.7945533,5500,66.0
1513837668.1131155,5510,83.0
1513837668.474882,5520,83.0
1513837668.804671,5530,83.0
1513837669.1317437,5540,71.0
1513837669.4922075,5550,95.0
1513837669.7907512,5560,71.0
1513837670.0915082,5570,95.0
1513837670.4280787,5580,95.0
1513837670.767802,5590,64.0
1513837671.0674553,5600,71.0
1513837671.4127777,5610,95.0
1513837671.7424505,5620,95.0
1513837672.0545304,5630,83.0
1513837672.3948915,5640,83.0
1513837672.6986067,5650,64.0
1513837673.0149202,5660,71.0
1513837673.396273,5670,71.0
1513837673.715411,5680,95.0
1513837674.0324621,5690,95.0
1513837674.404232,5700,71.0
1513837674.7291095,5710,83.0
1513837675.0610178,5720,71.0
1513837675.416978,5730,83.0
1513837675.7189155,5740,83.0
1513837676.0448902,5750,71.0
1513837676.4451025,5760,71.0
1513837676.763188,5770,95.0
1513837677.0687683,5780,71.0
1513837677.4459755,5790,71.0
1513837677.7682521,5800,71.0
1513837678.0912874,5810,71.0
1513837678.4667463,5820,83.0
1513837678.7793808,5830,71.0
1513837679.2716918,5840,-335.0
1513837679.6246696,5850,95.0
1513837679.9434896,5860,71.0
1513837680.2660055,5870,83.0
1513837680.6237278,5880,83.0
1513837680.9978876,5890,71.0
1513837681.2858157,5900,83.0
1513837681.6634002,5910,71.0
1513837682.0266454,5920,83.0
1513837682.3624911,5930,59.0
1513837682.7662354,5940,95.0
1513837683.0905828,5950,83.0
1513837683.4062252,5960,52.0
1513837683.7661047,5970,83.0
1513837684.1792133,5980,-57.0
1513837684.4664226,5990,83.0
1513837684.8099325,6000,95.0
1513837685.1115773,6010,66.0
1513837685.4064176,6020,83.0
1513837685.756866,6030,71.0
1513837686.061674,6040,83.0
1513837686.3599653,6050,83.0
1513837686.7587996,6060,59.0
1513837687.0664728,6070,83.0
1513837687.3769073,6080,83.0
1513837687.7712538,6090,71.0
1513837688.0605202,6100,95.0
1513837688.375809,6110,64.0
1513837688.764902,6120,59.0
1513837689.0905693,6130,83.0
1513837689.418693,6140,64.0
1513837689.8032339,6150,71.0
1513837690.1189992,6160,83.0
1513837690.4431717,6170,52.0
1513837690.849959,6180,83.0
1513837691.1698153,6190,83.0
1513837691.4908435,6200,83.0
1513837691.8755457,6210,71.0
1513837692.2167528,6220,64.0
1513837692.5285666,6230,71.0
1513837692.9107285,6240,71.0
1513837693.2034276,6250,83.0
1513837693.5048728,6260,64.0
1513837693.8981204,6270,71.0
1513837694.223348,6280,71.0
1513837694.5495305,6290,71.0
1513837694.9335065,6300,83.0
1513837695.246231,6310,71.0
1513837695.5621622,6320,71.0
1513837695.9506419,6330,71.0
1513837696.2652009,6340,95.0
1513837696.5821784,6350,71.0
1513837696.9313657,6360,83.0
1513837697.2154472,6370,95.0
1513837697.53257,6380,83.0
1513837697.95254,6390,71.0
1513837698.2940197,6400,71.0
1513837698.6338003,6410,64.0
1513837698.9905212,6420,83.0
1513837699.2905433,6430,71.0
1513837699.5742378,6440,83.0
1513837699.954026,6450,71.0
1513837700.2560546,6460,83.0
1513837700.6000588,6470,59.0
1513837701.00111,6480,71.0
1513837701.3205261,6490,71.0
1513837701.6376648,6500,71.0
1513837702.0029106,6510,95.0
1513837702.3402863,6520,64.0
1513837702.6212056,6530,95.0
1513837702.9915977,6540,83.0
1513837703.3113098,6550,83.0
1513837703.6211817,6560,64.0
1513837703.9907863,6570,95.0
1513837704.3137305,6580,52.0
1513837704.6089723,6590,95.0
1513837704.960374,6600,83.0
1513837705.289442,6610,71.0
1513837705.6505435,6620,52.0
1513837706.0253596,6630,71.0
1513837706.326836,6640,83.0
1513837706.6230946,6650,83.0
1513837706.9838104,6660,95.0
1513837707.3325868,6670,95.0
1513837707.6438103,6680,71.0
1513837708.0036955,6690,83.0
1513837708.315365,6700,83.0
1513837708.6113808,6710,83.0
1513837708.97718,6720,71.0
1513837709.2854176,6730,57.0
1513837709.6007454,6740,64.0
1513837709.9724562,6750,71.0
1513837710.3056383,6760,71.0
1513837710.6143157,6770,83.0
1513837711.0034423,6780,64.0
1513837711.3308053,6790,71.0
1513837711.640739,6800,71.0
1513837712.0173519,6810,71.0
1513837712.3512583,6820,71.0
1513837712.651661,6830,64.0
1513837713.040957,6840,71.0
1513837713.348196,6850,83.0
1513837713.6649718,6860,83.0
1513837714.0447881,6870,83.0
1513837714.3799179,6880,71.0
1513837714.7265592,6890,52.0
1513837715.0979009,6900,95.0
1513837715.4565372,6910,71.0
1513837715.7640748,6920,64.0
1513837716.142249,6930,71.0
1513837716.4600115,6940,83.0
1513837716.7799037,6950,64.0
1513837717.1877847,6960,71.0
1513837717.535642,6970,71.0
1513837717.891841,6980,83.0
1513837718.2948053,6990,83.0
1513837718.6486356,7000,71.0
1513837718.9504354,7010,71.0
1513837719.3557677,7020,59.0
1513837719.7009156,7030,59.0
1513837720.0159757,7040,83.0
1513837720.3630023,7050,95.0
1513837720.6810172,7060,71.0
1513837720.9762533,7070,95.0
1513837721.3939888,7080,83.0
1513837721.7555714,7090,95.0
1513837722.0855684,7100,95.0
1513837722.4748523,7110,71.0
1513837722.7889967,7120,83.0
1513837723.0903208,7130,71.0
1513837723.4803061,7140,52.0
1513837723.7748325,7150,83.0
1513837724.0809076,7160,83.0
1513837724.431116,7170,95.0
1513837724.7663758,7180,71.0
1513837725.0972013,7190,64.0
1513837725.5033898,7200,83.0
1513837725.8372421,7210,83.0
1513837726.114831,7220,95.0
1513837726.4604194,7230,83.0
1513837726.796332,7240,83.0
1513837727.0994987,7250,83.0
1513837727.4908183,7260,64.0
1513837727.815227,7270,71.0
1513837728.1499166,7280,71.0
1513837728.5277562,7290,71.0
1513837728.8495374,7300,71.0
1513837729.1363428,7310,83.0
1513837729.5135775,7320,71.0
1513837729.8269227,7330,83.0
1513837730.123703,7340,64.0
1513837730.5147655,7350,83.0
1513837730.8446417,7360,83.0
1513837731.1410959,7370,95.0
1513837731.4979365,7380,83.0
1513837731.8402784,7390,64.0
1513837732.160242,7400,64.0
1513837732.559892,7410,64.0
1513837732.869357,7420,95.0
1513837733.1965322,7430,71.0
1513837733.585626,7440,71.0
1513837733.9529114,7450,71.0
1513837734.252189,7460,71.0
1513837734.604076,7470,83.0
1513837734.9366057,7480,42.0
1513837735.2282634,7490,95.0
1513837735.632255,7500,64.0
1513837735.9240763,7510,95.0
1513837736.2297187,7520,71.0
1513837736.5961885,7530,71.0
1513837736.8932476,7540,95.0
1513837737.182027,7550,95.0
1513837737.5762331,7560,64.0
1513837737.8910344,7570,64.0
1513837738.20367,7580,95.0
1513837738.6172554,7590,71.0
1513837738.9484122,7600,83.0
1513837739.2526388,7610,95.0
1513837739.6339445,7620,83.0
1513837739.9780772,7630,95.0
1513837740.2944958,7640,83.0
1513837740.67635,7650,83.0
1513837740.9728844,7660,83.0
1513837741.273253,7670,83.0
1513837741.6447487,7680,83.0
1513837741.949925,7690,71.0
1513837742.290554,7700,59.0
1513837742.6928668,7710,45.0
1513837743.0537732,7720,64.0
1513837743.354851,7730,64.0
1513837743.7782638,7740,71.0
1513837744.0985222,7750,71.0
1513837744.4109147,7760,95.0
1513837744.8055534,7770,71.0
1513837745.1332197,7780,83.0
1513837745.4533572,7790,71.0
1513837745.9213862,7800,71.0
1513837746.256933,7810,95.0
1513837746.5790102,7820,83.0
1513837747.0017228,7830,83.0
1513837747.3251808,7840,71.0
1513837747.637823,7850,83.0
1513837748.0275097,7860,71.0
1513837748.3492947,7870,71.0
1513837748.6909325,7880,45.0
1513837749.121422,7890,71.0
1513837749.4431608,7900,83.0
1513837749.7580323,7910,71.0
1513837750.1314406,7920,64.0
1513837750.4439542,7930,71.0
1513837750.7797582,7940,59.0
1513837751.211985,7950,64.0
1513837751.555149,7960,71.0
1513837751.8950744,7970,71.0
1513837752.309256,7980,59.0
1513837752.6377327,7990,95.0
1513837752.9421835,8000,71.0
1513837753.3455346,8010,83.0
1513837753.6425397,8020,83.0
1513837753.9343288,8030,95.0
1513837754.337222,8040,52.0
1513837754.658297,8050,71.0
1513837754.9653294,8060,71.0
1513837755.360145,8070,71.0
1513837755.714317,8080,71.0
1513837756.0094578,8090,71.0
1513837756.4057038,8100,64.0
1513837756.7560387,8110,83.0
1513837757.0536327,8120,71.0
1513837757.4186807,8130,83.0
1513837757.713949,8140,95.0
1513837758.0325136,8150,95.0
1513837758.413002,8160,83.0
1513837758.744874,8170,71.0
1513837759.0579948,8180,52.0
1513837759.4606004,8190,71.0
1513837759.8072681,8200,71.0
1513837760.1123421,8210,83.0
1513837760.4884052,8220,95.0
1513837760.8322437,8230,42.0
1513837761.1473413,8240,95.0
1513837761.5682514,8250,71.0
1513837761.9194262,8260,42.0
1513837762.2160473,8270,95.0
1513837762.6314738,8280,45.0
1513837762.937043,8290,83.0
1513837763.2698023,8300,71.0
1513837763.646486,8310,71.0
1513837763.9418347,8320,83.0
1513837764.2536201,8330,83.0
1513837764.626338,8340,95.0
1513837764.9819171,8350,59.0
1513837765.3254693,8360,83.0
1513837765.7074573,8370,83.0
1513837766.062681,8380,71.0
1513837766.349417,8390,83.0
1513837766.73596,8400,83.0
1513837767.056229,8410,83.0
1513837767.3743165,8420,83.0
1513837767.7542517,8430,83.0
1513837768.0708225,8440,83.0
1513837768.3690329,8450,71.0
1513837768.7399528,8460,95.0
1513837769.0492778,8470,83.0
1513837769.349366,8480,71.0
1513837769.7475235,8490,83.0
1513837770.1004622,8500,71.0
